City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,18.16,90,100,4.12,ZA,1731311432
1,kingston,17.997,-76.7936,27.53,83,20,2.06,JM,1731311432
2,port-aux-francais,-49.35,70.2167,4.98,88,100,7.36,TF,1731311433
3,papao,-17.75,-149.55,25.82,92,99,10.25,PF,1731311433
4,nakhon phanom,17.3333,104.4167,31.89,42,100,2.17,TH,1731311433
5,chegdomyn,51.1167,133.0167,-9.62,90,61,1.59,RU,1731311433
6,invercargill,-46.4,168.35,11.68,74,0,1.79,NZ,1731311413
7,ilulissat,69.2167,-51.1,-3.99,58,75,3.09,GL,1731311433
8,hilo,19.7297,-155.09,21.16,94,66,0.45,US,1731311359
9,edinburgh of the seven seas,-37.0676,-12.3116,16.45,91,100,15.85,SH,1731311433
10,huarmey,-10.0681,-78.1522,17.92,91,95,3.48,PE,1731311433
11,margaret river,-33.95,115.0667,16.86,59,3,5.5,AU,1731311434
12,waitangi,-43.9535,-176.5597,12.68,89,100,6.26,NZ,1731311434
13,utrik,11.2278,169.8474,28.39,80,29,8.77,MH,1731311434
14,blackmans bay,-43.0167,147.3167,14.07,68,20,0.45,AU,1731311434
15,college,64.8569,-147.8028,-15.31,85,20,1.54,US,1731311434
16,adamstown,-25.066,-130.1015,21.66,69,100,3.13,PN,1731311434
17,yellowknife,62.456,-114.3525,-14.69,96,75,4.12,CA,1731311434
18,juan griego,11.0817,-63.9655,21.07,100,91,4.12,VE,1731311434
19,hawaiian paradise park,19.5933,-154.9731,21.04,97,96,2.29,US,1731311435
20,huittinen,61.1833,22.7,3.76,96,100,2.55,FI,1731311435
21,grytviken,-54.2811,-36.5092,-1.48,89,100,0.92,GS,1731311435
22,bethel,41.3712,-73.414,13.34,89,100,1.79,US,1731311435
23,yuzhno-kurilsk,44.0306,145.8556,5.85,64,0,9.66,RU,1731311435
24,sihanoukville,10.6093,103.5296,30.97,66,40,4.63,KH,1731311435
25,saint-pierre,-21.3393,55.4781,29.82,62,0,6.17,RE,1731311435
26,puerto ayora,-0.7393,-90.3518,21.42,88,60,1.34,EC,1731311435
27,ushuaia,-54.8,-68.3,4.81,70,40,2.57,AR,1731311436
28,thompson,55.7435,-97.8558,-3.91,93,0,3.09,CA,1731311436
29,sinjhoro,26.0303,68.809,35.33,22,0,5.31,PK,1731311436
30,crane,31.3974,-102.3501,13.9,41,31,3.18,US,1731311436
31,port mathurin,-19.6833,63.4167,24.45,71,70,8.4,MU,1731311436
32,andergrove,-21.0833,149.1833,25.47,74,16,4.64,AU,1731311436
33,essaouira,31.5125,-9.77,17.72,72,10,3.6,MA,1731311436
34,qaisumah,28.3112,46.1273,26.98,34,0,4.12,SA,1731311436
35,albany,42.6001,-73.9662,8.68,78,100,0.89,US,1731311436
36,marsh harbour,26.5412,-77.0636,25.68,87,16,6.73,BS,1731311437
37,papatowai,-46.5619,169.4708,9.59,69,4,3.38,NZ,1731311437
38,klyuchi,52.2667,79.1667,-2.64,81,100,4.27,RU,1731311437
39,puerto natales,-51.7236,-72.4875,3.84,96,97,2.63,CL,1731311437
40,bubaque,11.2833,-15.8333,28.48,56,0,4.57,GW,1731311437
41,revda,56.801,59.9303,-5.22,80,96,4.75,RU,1731311437
42,west island,-12.1568,96.8225,28.99,74,100,7.2,CC,1731311437
43,stanley,54.868,-1.6985,5.16,90,0,1.54,GB,1731311437
44,okha,53.5739,142.9478,-2.49,63,100,11.94,RU,1731311438
45,sabang,5.8933,95.3214,28.79,72,58,5.2,ID,1731311438
46,tura,25.5198,90.2201,27.61,54,0,1.74,IN,1731311438
47,bardai,11.65,7.2333,22.57,25,4,5.99,NG,1731311438
48,qulsary,46.9531,54.0198,6.23,64,12,3.12,KZ,1731311438
49,pemba,-12.974,40.5178,30.39,70,20,5.36,MZ,1731311438
50,polyarnyy,69.1989,33.4478,3.51,77,100,6.55,RU,1731311438
51,serra,-20.1286,-40.3078,20.7,88,75,0.0,BR,1731311438
52,vadso,70.0744,29.7487,6.09,81,75,5.66,NO,1731311438
53,thunder bay,48.4001,-89.3168,7.99,100,100,2.57,CA,1731311439
54,zavodskoy,43.4597,132.2922,5.77,28,0,2.0,RU,1731311439
